Start write data to file
35.38 110.30 0.00 0.00 0.96
35.31 106.15 0.00 0.00 1.00
35.31 102.83 0.00 0.00 0.96
35.31 135.20 0.00 0.00 0.96
35.25 115.28 0.00 0.00 0.96
35.25 95.36 0.00 0.00 1.00
35.25 103.66 0.00 0.00 0.96
35.25 108.64 0.00 0.00 1.00
35.19 101.17 0.00 0.00 0.96
35.19 114.45 0.00 0.00 0.96
35.19 113.62 0.00 0.00 0.96
35.25 104.49 0.00 0.00 0.92
35.25 100.34 0.00 0.00 0.92
35.25 105.32 0.00 0.00 0.92
35.25 108.64 0.00 0.00 0.92
35.31 92.87 0.00 0.00 0.92
35.31 102.83 0.00 0.00 0.96
35.31 120.26 0.00 0.00 0.92
35.31 111.13 0.00 0.00 0.98
-127.00 105.32 0.00 0.00 0.96
35.38 111.96 0.00 0.00 0.96
35.38 104.49 0.00 0.00 0.96
35.38 107.81 0.00 0.00 0.96
35.38 85.40 0.00 0.00 1.00
35.38 121.09 0.00 0.00 0.96
35.38 116.94 0.00 0.00 0.99
35.44 85.40 0.00 0.00 1.04
35.44 107.81 0.00 0.00 1.00
35.44 111.13 0.00 0.00 1.00
-127.00 114.45 0.00 0.00 1.04
-127.00 104.49 0.00 0.00 1.04
35.50 95.36 0.00 0.00 1.03
35.50 106.98 0.00 0.00 1.08
35.50 95.36 0.00 0.00 1.08
35.50 113.62 0.00 0.00 1.04
35.56 105.32 0.00 0.00 1.07
35.56 104.49 0.00 0.00 1.12
35.56 111.13 0.00 0.00 1.08
35.56 97.85 0.00 0.00 1.08
35.56 100.34 0.00 0.00 1.04
35.56 106.15 0.00 0.00 1.08
35.56 104.49 0.00 0.00 1.08
35.56 116.94 0.00 0.00 1.04
35.56 116.94 0.00 0.00 1.08
35.63 95.36 0.00 0.00 1.04
35.56 102.00 0.00 0.00 1.08
35.63 92.87 0.00 0.00 1.04
35.69 109.47 0.00 0.00 1.08
35.69 111.96 0.00 0.00 1.12
35.69 106.98 0.00 0.00 1.08
35.69 106.15 0.00 0.00 1.08
35.69 103.66 0.00 0.00 1.08
35.69 107.81 0.00 0.00 1.12
35.75 113.62 0.00 0.00 1.12
35.75 103.66 0.00 0.00 1.08
35.75 102.00 0.00 0.00 1.12
35.75 98.68 0.00 0.00 1.12
35.75 105.32 0.00 0.00 1.12
35.69 102.83 0.00 0.00 1.12
35.69 97.85 0.00 0.00 1.12
35.69 110.30 0.00 0.00 1.12
35.69 98.68 0.00 0.00 1.12
35.69 93.70 0.00 0.00 1.16
35.69 114.45 0.00 0.00 1.12
35.75 109.47 0.00 0.00 1.12
35.75 109.47 0.00 0.00 1.12
35.75 120.26 0.00 0.00 1.12
35.75 99.51 0.00 0.00 1.12
35.75 101.17 0.00 0.00 1.16
35.75 102.83 0.00 0.00 1.12
35.81 96.19 0.00 0.00 1.12
35.81 102.83 0.00 0.00 1.20
35.81 104.49 0.00 0.00 1.16
35.81 102.00 0.00 0.00 1.20
35.88 105.32 0.00 0.00 1.16
35.88 107.81 0.00 0.00 1.20
35.94 91.21 0.00 0.00 1.16
35.94 115.28 0.00 0.00 1.20
35.94 120.26 0.00 0.00 1.20
35.94 97.02 0.00 0.00 1.27
35.94 112.79 0.00 0.00 1.23
35.94 94.53 0.00 0.00 1.27
36.00 90.38 0.00 0.00 1.27
35.94 116.94 0.00 0.00 1.31
35.94 104.49 0.00 0.00 1.27
35.94 94.53 0.00 0.00 1.31
35.94 113.62 0.00 0.00 1.35
35.94 97.85 0.00 0.00 1.43
36.00 116.94 0.00 0.00 1.47
36.00 105.32 0.00 0.00 1.43
36.00 118.60 0.00 0.00 1.43
36.00 95.36 0.00 0.00 1.43
36.00 103.66 0.00 0.00 1.43
36.00 89.55 0.00 0.00 1.44
36.00 111.96 0.00 0.00 1.43
36.06 119.43 0.00 0.00 1.43
36.06 92.87 0.00 0.00 1.47
36.06 100.34 0.00 0.00 1.50
36.13 105.32 0.00 0.00 1.50
36.13 100.34 0.00 0.00 1.43
36.19 100.34 0.00 0.00 1.52
36.19 101.17 0.00 0.00 1.50
36.19 97.85 0.00 0.00 1.56
36.25 104.49 0.00 0.00 1.60
36.25 93.70 0.00 0.00 1.58
36.31 104.49 0.00 0.00 1.62
36.38 92.87 0.00 0.00 1.66
36.44 102.00 0.00 0.00 1.63
36.50 96.19 0.00 0.00 1.71
36.56 103.66 0.00 0.00 1.91
36.63 100.34 0.00 0.00 2.20
36.69 108.64 0.00 0.00 2.63
36.81 100.34 0.00 0.00 3.28
37.00 106.98 0.00 0.00 3.34
37.13 105.32 0.00 0.00 2.97
37.25 104.49 0.00 0.00 3.49
37.44 103.66 0.00 0.00 3.77
37.63 107.81 0.00 0.00 3.84
37.81 107.81 0.00 0.00 4.00
37.94 106.15 0.00 0.00 4.04
38.13 96.19 0.00 0.00 3.92
38.25 97.85 0.00 0.00 4.00
38.44 106.98 0.00 0.00 4.08
38.56 108.64 0.00 0.00 4.00
38.75 111.13 0.00 0.00 3.96
38.88 97.85 0.00 0.00 3.92
39.00 100.34 0.00 0.00 3.88
39.13 107.81 0.00 0.00 3.88
39.25 77.10 0.00 0.00 3.84
39.25 92.87 0.00 0.00 3.73
39.38 96.19 0.00 0.00 3.73
39.38 81.25 0.00 0.00 3.80
39.56 102.00 0.00 0.00 3.84
39.63 110.30 0.00 0.00 4.01
39.69 102.00 0.00 0.00 3.88
39.81 102.00 0.00 0.00 3.94
39.88 97.85 0.00 0.00 3.90
39.94 111.96 0.00 0.00 3.90
40.00 111.96 0.00 0.00 3.84
40.06 117.77 0.00 0.00 3.88
40.13 102.00 0.00 0.00 3.90
40.19 121.09 0.00 0.00 3.86
40.19 105.32 0.00 0.00 4.01
40.25 92.04 0.00 0.00 3.98
40.31 88.72 0.00 0.00 3.98
40.31 100.34 0.00 0.00 4.05
40.31 100.34 0.00 0.00 4.05
40.38 106.15 0.00 0.00 4.17
40.50 101.17 0.00 0.00 4.25
40.56 106.98 0.00 0.00 4.21
40.69 102.00 0.00 0.00 4.17
40.81 100.34 0.00 0.00 4.05
40.88 106.98 0.00 0.00 4.01
40.94 97.85 0.00 0.00 4.15
41.00 104.49 0.00 0.00 4.25
41.13 104.49 0.00 0.00 4.29
41.19 117.77 0.00 0.00 4.23
41.25 112.79 0.00 0.00 4.21
41.25 100.34 0.00 0.00 4.11
41.31 101.17 0.00 0.00 4.17
41.44 115.28 0.00 0.00 4.15
41.50 93.70 0.00 0.00 4.03
41.56 116.94 0.00 0.00 3.99
41.63 119.43 0.00 0.00 3.84
41.69 107.81 0.00 0.00 3.80
41.75 108.64 0.00 0.00 3.84
